move,board_state,player
5-i,______________________________@@_____@##_#,#
3-i,______________________________@@#____@##_#,@
3-i,_______________________@______@@#____@##_#,#
4-i,________________#______@______@@#____@##_#,@
4-i,________________#______@@_____@@#____@##_#,#
5-i,________________##_____@@_____@@#____@##_#,@
6-i,________________##_____@@@____@@#____@##_#,#
6-i,________________##_____@@@____@@#____@####,@
2-i,________________##_____@@@____@@#@___@####,#
2-i,________________##_____@@@____@@#@__#@####,@
5-i,________________##_____@@@___@@@#@__#@####,#
6-i,________________###____@@@___@@@#@__#@####,@
6-i,________________###____@@@@__@@@#@__#@####,#
1-i,________________####___@@@@__@@@#@__#@####,@
2-p,________________####___@@@@__@@@#@_@#@####,#
1-i,________________####___@@@@___@@#@_@@@####,@
3-i,________________####___@@@@_@_@@#@_@@@####,#
1-i,_________#______####___@@@@_@_@@#@_@@@####,@
2-i,_________#______####_@_@@@@_@_@@#@_@@@####,#
5-i,_________#______####_@_@@@@_@#@@#@_@@@####,@
2-i,_________#_@____####_@_@@@@_@#@@#@_@@@####,#
2-p,_________#_@____####_@#@@@@_@#@@#@_@@@####,@
2-i,_________#_@____####_@_@@@@_@#@@#@_@#@####,#
2-i,_________#_@____####_@#@@@@_@#@@#@_@#@####,@
1-i,_________#_@___@####_@#@@@@_@#@@#@_@#@####,#
2-i,_________#_@__#@####_@#@@@@_@#@@#@_@#@####,@
1-i,________@#_@__#@####_@#@@@@_@#@@#@_@#@####,#
1-p,_______#@#_@__#@####_@#@@@@_@#@@#@_@#@####,@
1-i,________@#_@__#@####_##@@@@_@#@@#@_@#@####,#
1-p,_______#@#_@__#@####_##@@@@_@#@@#@_@#@####,@
1-i,________@#_@__#@####_##@@@@_##@@#@_@#@####,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
2-i,_______________________________@_____##___,@
5-i,_______________________________@____@##___,#
2-i,_______________________________@____@###__,@
5-i,_____________________________@_@____@###__,#
2-i,_____________________________@_@#___@###__,@
5-i,______________________@______@_@#___@###__,#
5-i,______________________@__#___@_@#___@###__,@
4-i,__________________@___@__#___@_@#___@###__,#
4-i,__________________@___@_##___@_@#___@###__,@
2-i,_________________@@___@_##___@_@#___@###__,#
1-i,_______________#_@@___@_##___@_@#___@###__,@
3-i,_______________#_@@___@_##___@_@#__@@###__,#
3-i,_______________#_@@___@_##___@#@#__@@###__,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
2-i,__________#______@______@_____@@@__#_###_#,@
2-i,__________#______@______@_____@@@__#@###_#,#
6-i,__________#______@______@____#@@@__#@###_#,@
2-i,__________#______@______@____#@@@__#@###@#,#
3-i,__________#______@____#_@____#@@@__#@###@#,@
2-i,__________#______@____#@@____#@@@__#@###@#,#
3-i,__________#____#_@____#@@____#@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
4-i,_______________________________@______##__,@
7-i,________________________@______@______##__,#
4-i,________________________@______@______##_#,@
3-i,_________________@______@______@______##_#,#
5-i,_________________@______@______@_____###_#,@
1-i,_________________@______@______@@____###_#,#
2-i,_________________@______@______@@__#_###_#,@
4-i,_________________@______@______@@__#@###_#,#
3-i,__________#______@______@______@@__#@###_#,@
3-i,__________#______@______@_____@@@__#@###_#,#
6-i,__________#______@_____#@_____@@@__#@###_#,@
3-i,__________#______@_____#@_____@@@__#@###@#,#
5-i,__________#_____#@_____#@_____@@@__#@###@#,@
3-i,__________#_____#@_____#@@____@@@__#@###@#,#
3-i,_________##_____#@_____#@@____@@@__#@###@#,@
1-i,__@______##_____#@_____#@@____@@@__#@###@#,#
5-i,__@______##_____#@_____#@@__#_@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
1-i,________________________@______@_____##___,#
4-i,________________________@______@___#_##___,@
4-i,_________________@______@______@___#_##___,#
5-i,__________#______@______@______@___#_##___,@
3-i,__________#______@______@______@___#_##@__,#
5-i,__________#______@______@_____#@___#_##@__,@
3-i,__________#______@______@_____#@@__#_##@__,#
3-i,__________#______@_____#@_____#@@__#_##@__,@
2-i,__________#_____@@_____#@_____#@@__#_##@__,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
4-i,________________________@______@_____##___,#
3-i,_________________#______@______@_____##___,@
1-i,_________________#______@_____@@_____##___,#
5-i,_________________#______@_____@@___#_##___,@
3-i,_________________#______@_____@@___#_##@__,#
5-i,_________________#_____#@_____@@___#_##@__,@
1-i,_________________#_____#@_____@@@__#_##@__,#
3-i,_________________#_____#@___#_@@@__#_##@__,@
6-i,________________@#_____#@___#_@@@__#_##@__,#
5-i,________________@#_____#@___#_@@@__#_##@#_,@
1-i,________________@#_____#@@__#_@@@__#_##@#_,#
5-i,________________@#___#_#@@__#_@@@__#_##@#_,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
5-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@______@@____###__,#
3-i,__________#______@______@______@@____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
6-i,__________#______@______@_____@@@__#_###_#,@
6-i,__________#______@______@_____@@@__#_###@#,#
3-i,__________#______@______@_____@@@#_#_###@#,@
6-i,__________#______@_____@@_____@@@#_#_###@#,#
2-i,__________#______@_____@@_#___@@@#_#_###@#,@
6-i,__________#______@_____@@_#___@@@#_#@###@#,#
6-i,__________#______@_#___@@_#___@@@#_#@###@#,@
4-p,__________#_@____@_#___@@_#___@@@#_#@###@#,#
5-i,____________@____#_#___@@_#___@@@#_#@#@#@#,@
5-i,____________@____#_#___@@@#___@@@#_#@#@#@#,#
3-i,____________@____###___@@@#___@@@#_#@#@#@#,@
3-i,__________________________________________,#
4-i,_____________________________________#____,@
4-i,_____________________________________#@___,#
3-i,_______________________________#_____#@___,@
3-i,______________________________@#_____#@___,#
5-i,_______________________#______@#_____#@___,@
3-i,_______________________#______@#_____#@@__,#
7-i,________________#______#______@#_____#@@__,@
3-i,________________#______#______@#_____#@@_@,#
4-i,_________#______#______#______@#_____#@@_@,@
6-i,_________#______#______#@_____@#_____#@@_@,#
5-i,_________#______#______#@_____@#_____#@@#@,@
6-i,_________#______#______#@_____@#@____#@@#@,#
5-i,_________#______#______#@_____@#@#___#@@#@,@
6-i,_________#______#______#@@____@#@#___#@@#@,#
5-i,_________#______#______#@@#___@#@#___#@@#@,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
4-i,_______________________________@______##__,@
4-i,________________________@______@______##__,#
5-i,_________________#______@______@______##__,@
3-i,_________________#______@______@@_____##__,#
3-i,_________________#______@______@@____###__,@
1-i,_________________#______@_____@@@____###__,#
6-i,_________________#______@_____@@@__#_###__,@
3-i,_________________#______@_____@@@__#_###@_,#
3-i,_________________#_____#@_____@@@__#_###@_,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
4-i,_________________@______@______@____###___,#
5-i,__________#______@______@______@____###___,@
3-i,__________#______@______@______@____###@__,#
3-i,__________#______@______@_____#@____###@__,@
1-i,__________#______@_____@@_____#@____###@__,#
2-i,__________#______@_____@@_____#@___####@__,@
1-i,__________#______@_____@@____@#@___####@__,#
2-i,__________#______@_____@@___#@#@___####@__,@
1-i,__________#______@____@@@___#@#@___####@__,#
5-i,__________#______@___#@@@___#@#@___####@__,@
3-i,__________#______@___#@@@___#@#@@__####@__,#
2-i,__________#_____#@___#@@@___#@#@@__####@__,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
5-i,__________#______@______@______@_____###__,@
3-i,__________#______@______@______@@____###__,#
6-i,__________#______@______@_____#@@____###__,@
3-i,__________#______@______@_____#@@____###@_,#
5-i,__________#______@_____#@_____#@@____###@_,@
2-i,__________#______@_____#@@____#@@____###@_,#
5-i,__________#______@_____#@@____#@@___####@_,@
5-i,__________#______@@____#@@____#@@___####@_,#
7-i,__________##_____@@____#@@____#@@___####@_,@
3-i,__________##_____@@____#@@____#@@___####@@,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
6-i,_______________________________@_____##___,@
2-i,_______________________________@_____##_@_,#
6-i,_______________________________@____###_@_,@
3-i,_______________________________@_@__###_@_,#
6-i,______________________________#@_@__###_@_,@
3-i,__________________________@___#@_@__###_@_,#
3-i,_______________________#__@___#@_@__###_@_,@
5-i,________________@______#__@___#@_@__###_@_,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
4-i,_______________________________@______##__,@
3-i,________________________@______@______##__,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
6-i,__________#______@______@_____@@@__#_###_#,@
6-i,__________#______@______@_____@@@__#_###@#,#
3-i,__________#______@______@_____@@@#_#_###@#,@
6-i,__________#______@_____@@_____@@@#_#_###@#,#
2-i,__________#______@_____@@_#___@@@#_#_###@#,@
6-i,__________#______@_____@@_#___@@@#_#@###@#,#
3-i,__________#______@_#___@@_#___@@@#_#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
4-i,________________________@______@_____##___,#
5-i,_________________#______@______@_____##___,@
1-i,_________________#______@______@_____##@__,#
5-i,_________________#______@______@___#_##@__,@
3-i,_________________#______@______@@__#_##@__,#
5-i,_________________#______@_____#@@__#_##@__,@
5-i,_________________#______@@____#@@__#_##@__,#
3-i,_________________##_____@@____#@@__#_##@__,@
2-i,_________________##____@@@____#@@__#_##@__,#
2-i,_________________##____@@@____#@@__####@__,@
1-i,_________________##____@@@___@#@@__####@__,#
3-i,_________________##____@@@__#@#@@__####@__,@
1-i,________________@##____@@@__#@#@@__####@__,#
2-i,________________@##__#_@@@__#@#@@__####@__,@
1-i,________________@##__#@@@@__#@#@@__####@__,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
6-i,__________#______@______@_____@@@__#_###_#,@
3-i,__________#______@______@_____@@@__#_###@#,#
2-i,__________#______@_____#@_____@@@__#_###@#,@
3-i,__________#______@_____#@_____@@@__#@###@#,#
5-i,__________#_____#@_____#@_____@@@__#@###@#,@
3-i,__________#_____#@_____#@@____@@@__#@###@#,#
3-i,_________##_____#@_____#@@____@@@__#@###@#,@
2-i,__@______##_____#@_____#@@____@@@__#@###@#,#
5-i,__@______##_____#@_____#@@___#@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
3-i,_______________________________@_____##___,@
5-i,______________________________@@_____##___,#
5-i,______________________________@@_____###__,@
7-i,______________________________@@@____###__,#
3-i,______________________________@@@____###_#,@
1-i,_______________________@______@@@____###_#,#
3-i,_______________________@______@@@__#_###_#,@
5-i,________________@______@______@@@__#_###_#,#
2-i,________________@______@_#____@@@__#_###_#,@
4-i,________________@______@_#____@@@__#@###_#,#
6-i,________________@______@##____@@@__#@###_#,@
4-i,________________@______@##____@@@__#@###@#,#
4-i,________________@#_____@##____@@@__#@###@#,@
3-i,__________@_____@#_____@##____@@@__#@###@#,#
1-i,_________#@_____@#_____@##____@@@__#@###@#,@
5-i,_________#@_____@#_____@##__@_@@@__#@###@#,#
4-i,_________#@_____@##____@##__@_@@@__#@###@#,@
5-i,___@_____#@_____@##____@##__@_@@@__#@###@#,#
7-i,___@_____#@#____@##____@##__@_@@@__#@###@#,@
1-p,___@_____#@#____@##____@##__@_@@@_@#@###@#,#
1-i,___@_____#@#____@##____@##____@@@_@@@###@#,@
7-i,___@_____#@#____@##____@##__@_@@@_@@@###@#,#
1-i,___@_____#@#____@##____@##_#@_@@@_@@@###@#,@
6-i,___@_____#@#____@##__@_@##_#@_@@@_@@@###@#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
2-i,__________#______@______@_____@@@__#_###_#,@
2-i,__________#______@______@_____@@@__#@###_#,#
6-i,__________#______@______@____#@@@__#@###_#,@
2-i,__________#______@______@____#@@@__#@###@#,#
3-i,__________#______@____#_@____#@@@__#@###@#,@
2-i,__________#______@____#@@____#@@@__#@###@#,#
2-i,__________#____#_@____#@@____#@@@__#@###@#,@
3-i,________@_#____#_@____#@@____#@@@__#@###@#,#
5-i,________@_#____##@____#@@____#@@@__#@###@#,@
5-i,________@_#____##@____#@@@___#@@@__#@###@#,#
2-i,________@_#____##@#___#@@@___#@@@__#@###@#,@
3-i,_@______@_#____##@#___#@@@___#@@@__#@###@#,#
7-i,_@______@##____##@#___#@@@___#@@@__#@###@#,@
5-i,_@______@##____##@#___#@@@___#@@@_@#@###@#,#
1-i,_@______@###___##@#___#@@@___#@@@_@#@###@#,@
1-i,_@______@###___##@#___#@@@__@#@@@_@#@###@#,#
1-i,_@______@###___##@#__##@@@__@#@@@_@#@###@#,@
7-p,_@______@###__@##@#__##@@@__@#@@@_@#@###@#,#
1-i,_@______@###__@##@#__##@@@__@#@@@__#@###@@,@
4-p,_@_____@@###__@##@#__##@@@__@#@@@__#@###@@,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
